participants,panel_attendence,feedback_for_panel_1,feedback_for_panel_2,feedback_for_panel_3,feedback_for_first_keynote,feedback_for_second_keynote,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
48,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,"Although it was hard to speak it and tell us, it did inspire and that’s all that matters because his message was sent out.",Excellent,Excellent,Professor,Yes,"CJS 326 Victimology, Professor Labertew",Somewhat convenient,Somewhat,,No
49,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,It was a very emotional lecture. ,Fairly Good,Fairly Good,Email;Professor,Yes,CJS 326 Labertew ,Somewhat convenient,Somewhat,,Yes
50,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,I really enjoyed hearing Julian aguon speak. I learned a lot from this lecture ,Excellent,Excellent,Professor,Yes,CJS 326,Extremely convenient,Very much,,No
51,Keynote Speaker: Julian Aguon,x,x,x,x,Wrote very interesting pieces.,Excellent,Excellent,Professor,Yes,Denice Labertew: CJS 326 + 452,Extremely convenient,Somewhat,,Yes
52,Keynote Speaker: Julian Aguon,N/A,N/A,N/A,N/A,It was great. ,Excellent,Excellent,Email;Professor,Yes,"CJS 326 Victimology, Professor Labertew",Extremely convenient,Very much,"No, it was great. ",Yes
53,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,super informative and really interesting!,Fairly Good,Fairly Good,Professor,Yes,Leslie Labertew Victimology,Somewhat convenient,Very much,,No
54,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply ,"I thought the speaker did a great job in their lecture, I was honestly very engaged. I think that towards the end was when the speaker spoke about their father dying I think that was beautiful and honestly it was an honor because the speaker opened up about something that’s not easy, grief is difficult no matter how much time has passed. ",Fairly Good,Excellent,Professor,Yes,CJS 326 Victimology Professor Leslie Labertew,Somewhat convenient,Very much,,No
55,Keynote Speaker: Dr. Ruthie Gilmore;Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,"I enjoyed her discussions and I feel that it was very interesting. Other than that, I feel that it was a wonder experience to listen to her speak.",His talk was very special to me because he talked a lot about things that interest me very much. I hope to see speakers like him again in the future.,Excellent,Excellent,Professor,Yes,GWS 301: Feminist Theory with Professor Shaikh,Somewhat convenient,Very much, I just hope to see speakers like that of Julian Aguon but the event went very well from what I saw and felt.,Yes
56,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,I thought he was very interesting and a good public speaker ,Excellent,Excellent,Flyers;Professor,Yes,CJS 326// Professor Labertew ,Somewhat convenient,Somewhat,,Yes
57,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply ,Does not apply ,I really enjoyed how open Julian was and how he spoke about what he does and everything I thought it was really cool and I really enjoy listening to him.,Excellent,Excellent,Professor,Yes,Victimology  ,Extremely convenient,Very much,,No
58,Keynote Speaker: Julian Aguon,N/A,N/A,N/A,N/A,"He was very passionate, spoke beautifully even cried a little which made me tear up honestly.",Excellent,Excellent,Professor,Yes,CJS 326 Professor Labertew,Somewhat convenient,Very much,,No
59,Panel 2: Identity & Place Making;Panel 3: Housing Security/Insecurity & Project Rebound;Keynote Speaker: Julian Aguon," ""does not apply""","I joined late towards the presentations but with that little bit, I was very intrigued and amazed with this presentation. Each Presentation has brought so much insight towards these presentations.
","I joined late towards the presentations but with that little bit, I was very intrigued and amazed with this presentation. Each Presentation has brought so much insight towards these presentations."," ""does not apply""",Julian Aguon was an amazing presenter his words where very touching in which I will buy his books. Aguon was very knowledgeable and could connect towards the audience by his views of his life as well as the current problems of climate change. ,Excellent,Excellent,Word of mouth;Email;Professor,Yes,CCE 490/ Professor Baty ,Somewhat convenient,Very much,,Yes
60,Panel 1: Writing Against Erasure,I would have liked to see better representation of the ASL interpreters available otherwise I think this presentation is Phenomenal and I can't wait to see their book become reality! ,Does not apply ,Does not Apply ,Does not Apply ,Does not Apply ,Excellent,Excellent,Word of mouth;Flyers;Instagram,No,,Somewhat convenient,Very much,It would have been nice to see what other colleagues were present and be able to interact during breaks.,Yes
61,Keynote Speaker: Julian Aguon,does not apply,does not apply,Does not apply,Does not apply,"Yes, i know him from University of Guam, i am actually from guam, i am just attending CSUN for a full academic year through the NSE Program. But I loved his presentation and i thought it was very powerful. ",Excellent,Excellent,Professor,Yes,CJS326 Victimology: Professor Labertew ,Extremely convenient,Very much,No comments,No
62,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,it was very touching and heart warming speech ,Excellent,Excellent,Professor,Yes,,Somewhat convenient,Very much,,No
63,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,very inspiring! Glad I was able to participate and have the opportunity to hear Julian speak! ,Excellent,Excellent,Professor,Yes,"CJS 326 victimology, Denice Labertew ",Extremely convenient,Very much,Overall everything went well!,No
64,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply,"I loved the vulnerability and real life issues that Julian spoke on. From not being able to properly express his grief with his family and himself, to also the injustices of what is happening in his homeland of a foreign military taking over precious indigenous land. Julian is a strong voice for his community on the international scale and I applaud him for all of his firms accomplishments that just happened within the last 48 hours, I love his emotion and the way he articulated himself.",Excellent,Excellent,Flyers;Professor,Yes,Professor. Labertew CJS 326 Victimology ,Extremely convenient,Very much,N/A,No
65,Keynote Speaker: Julian Aguon,No,No,No,No ,Loved this meeting ,Excellent,Excellent,Professor,Yes,CJS326 victimology. Professor lawbertew,Extremely convenient,Very much,,No
66,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,JUlian Aguon was very well spoken speaker . All the information that was said was very relatable to some people lifestyle. ,Excellent,Excellent,Professor,Yes,Cjs 326 victimology and Denice labertew,Extremely convenient,Very much,,No
67,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply ,Julian was very insightful and I learned a lot about him and he was very interactive with the chat and answering questions. ,Excellent,Excellent,Professor,Yes,CJS 326 Victimology Professor Labertew ,Extremely convenient,Very much,,No
68,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,N/A,Excellent,Excellent,Professor,Yes,"Leslie Labertew, CJS 326 victimology",Somewhat convenient,Very much,N/A,No
69,Keynote Speaker: Julian Aguon,NA,NA,NA,NA,I enjoyed this panel so much that I stayed till the end. Julian spoke beautifully and every word they said spoke to my heart. ,Excellent,Excellent,Professor,Yes,CJS 326 victimology,Extremely convenient,Very much,,No
70,Keynote Speaker: Julian Aguon,Not attend,Not attend,Not attend,Not attend,Great thoughts,Excellent,Excellent,Professor,Yes,326 Victimology ,Extremely convenient,Very much,It was overalll amazing ,No
71,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,"I thought that the speaker went into good detail on the topic being discussed, and other than that I thought it was a good speech.",Excellent,Excellent,Professor,Yes,CJS 326 Professor Labertew,Somewhat convenient,Somewhat,,No
72,Keynote Speaker: Dr. Ruthie Gilmore,Does not apply,Does not apply,Does not apply,Loved the talk and thoughtfulness ,Does not apply,Excellent,Excellent,Email,No,,Extremely convenient,Very much,,Yes
73,Panel 1: Writing Against Erasure,"I really appreciate everyone who shared their stories so bravely. I was feeling sad for the experiences other went through, but it needs to be heard and these stories must be highlighted and success following must be celebrated.",I was not able to attend:(,I was not able to attend:(,I was not able to attend:(,I was not able to attend:(,Excellent,Excellent,Email,No,,Somewhat convenient,Somewhat,,Yes
74,Panel 1: Writing Against Erasure;Panel 2: Identity & Place Making,Very inspiring.,The presentations were very thought provoking.  Great job by all panelists -Kudos.,does not apply,does not apply,Does not apply,Excellent,Excellent,Email,No,,Somewhat convenient,Very much,,Yes
75,Panel 2: Identity & Place Making,NA,Excellent presentations. Enjoyed diverse perspectives on the topic.,NA,NA,NA,Excellent,Excellent,Email,No,,Extremely convenient,Very much,,Yes
76,Keynote Speaker: Dr. Ruthie Gilmore,N/A,N/A,N/A,Fantastic keynote!  Ruthie is an engaging speaker and it was wonderful to have her (virtually) come to CSUN. ,N/A,Excellent,Excellent,Word of mouth;Email,No,,Somewhat convenient,Very much,,No
